Name,Position,Scouting Report,Race
Michal Menet,C,"Three-year starter and two-time team captain.
 Broad through chest and waist with good density.
 Plays under control.
 Able to make climb-blocks in tight quarters.
 Excellent body control into and through his run block.
 Fires hips into down blocks with leverage and pop.
 Works feet into position before striking.
 Can set a shallow anchor and stuff a bull rush.
 Punches with inside hands.
 Good upper-body power to displace edge attacks. Stubby arms diminish block sustain.
 Doesn't have desired length or feet for redirection in space.
 Below average snap-to-step quickness on down blocks.
 Plodding working up to many second-level blocks.
 Very limited range and adjustments as second-level blocker.
 Heavy feet attempting to mirror edge-to-edge rushers.
 Doesn't always slide feet quickly enough to help versus gap-runners in pass pro.",W
Will Fries,G,"Showed off durability with 42 career starts.
 Played both tackle positions and right guard.
 Punch is accurate and fired with leverage.
 Makes quick adjustment when front moves.
 Works to sustain and finish his block.
 Effective when asked to pull, find and land his block.
 Tackle experience improves protection potential.
 Doesn't cut hands loose unnecessarily in pass pro.
 Core power and ankle flexion to battle bull-rushers. Average hand quickness into first contact.
 Not much knock-back pop.
 Allows opponents to punch and play off of him.
 Leg drive won't be able to push pros around.
 Pass slides are more like heavy stomps.
 Head fakes tilt him off-balance.
 Struggles to recovery and redirect rusher off track.
 Athletic pass rushers cause him to over-correct.",W
Ben Skowronek,WR,"Easy to feel his play passion and edge on tape.
 Plays with excellent balance and body control.
 Consistent play speed in his routes.
 Choppy footwork for smoother transitions from his breaks.
 Gets by cornerbacks who take him lightly when working deep.
 Swings 50-50 throws in his favor if given the chance.
 Excellent body extension and high-point control on jump balls.
 Catches with sudden hands when needed.
 Finishes runs after catch like a tight end.
 Loves to fire off on defenders early in game as a blocker.
 Consistent working up to back-side safety in run game.
 Size and strength to pancake on perimeter and scrap near the line. Lacks preferred speed to play outside.
 Separation success declines against quality corners.
 Too upright into his breaks.
 Press coverage can stick with him around field.
 Will see bigger bodies in NFL, mitigating his size advantage.
 Below-average stop-start movements.
 Needs to carve out more defined catch space underneath.",W
Khyiris Tonga,DT,"Big, burly and wide with NFL mass.
 Snaps hands into center's shoulders first after snap as zero-technique.
 Eats up space to clog the A-gaps.
 Feel for double-team, dropping his post deep to counter.
 Flicks blocks away with shed twitch.
 Reads and reacts to flow of the run play.
 Active tackler for a big interior lineman.
 Finishes tackles with a crashing thud.
 Momentum rusher who's able to continue pocket push once he's on an edge.
 Decent change of direction inside the pocket. More quick than explosive into first contact.
 Ducks helmet into contact.
 Loses some ground at times due to a lack of knee bend.
 Pushed around against San Diego State.
 Had pads turned and lost excessive ground.
 Has some short-area burst but pursuit range is modest.
 Straight-line rusher.
 No real go-to counters to turn the rush in his favor.",NW
Chris Wilcox,CB,"Size and speed offers matchup potential.
 Possesses traits that teams love against outside targets.
 Able to smother opponents with size down the field.
 Matches the outside release from press.
 Steps downhill and will get after it as a tackler.
 Has ability to slow down quick game.
 Experience and traits to compete for a role as gunner. High-cut body with labored footwork.
 Below-average instincts and feel for the position.
 Lack of ball production is troubling.
 In BYU career, had zero career sacks, interceptions, fumbles forced or recovered.
 Slow transitions allow openings for opponents.
 Injuries have been an ongoing concern.
 Plays too low when defending high/low route concepts.",NW
Chris Garrett,EDGE,"Insane college production over just three seasons.
 Finished with 48.5 tackles for loss, 36.5 sacks and 15 forced fumbles.
 Uses basketball footwork to scoot around edges.
 Cat-quick outside jab to inside counter.
 Natural instincts for sudden counters against oversetting tackles.
 Goes hunting for strip-sacks once he gets corner turned.
 Inside slants are a lot for blockers to handle.
 Rangy chasing runners to the sideline. Far superior athlete than competition he faced.
 Frame is thin and relatively narrow.
 Will get bulldozed off the point by NFL tackles.
 Lacks play strength to unhinge from blocks.
 Must learn to control blocking tight ends.
 Hip tightness limits bend at the top of the rush.
 Face-up rushing attack is there for blocker to punch.
 Rush is upright and lacking quality hand work.",NW
Marquiss Spencer,DE,"Naturally strong.
 Accurate hands can press and separate as two-gapper.
 Flashes quick win potential at the point of attack.
 Explosive first-step quickness.
 No wasted motion or false steps in upfield rush.
 Really impressive bend at the top of the rush.
 Twists work with his athletic ability.
 Flashy spin counter could cause trouble as reduced rusher. Came back too heavy, which hampered effectiveness.
 Occasional delays in snap reaction.
 Not as physical against the run as you want him to be.
 Angle blocks catch and widen him too far outside.
 Ends up on the ground way too often.
 Plays with an unremarkable motor.
 Rush plan isn't well-prepared.
 Doesn't get to spin counters often enough.",NW
Pressley Harvin III,P,"Impressive net average of 44.8 yards per punt in 2020.
 Able to handle poorly snapped footballs.
 Directional punts look like passes to the gunner.
 Touchdown pass of 41 yards on fake punt in 2019. Inconsistent hang time.
 High percentage of punts were returned.
 Displays inconsistent touch on short kicks.",NW
Kawaan Baker,WR,"Explosive athlete with rare initial burst.
 Possesses NFL build with sturdy frame and 10.5-inch hands.
 Ran 4.43-second 40-yard dash with 39.5-inch vertical jump at his pro day.
 Talent and traits to play inside or outside.
 Feet are nifty and sudden in press release.
 Accelerates into early lead on go routes against press.
 Adjusts path to the football with his ball-tracking.
 Better feel for leverage and burst at the stem in 2020.
 Can take a short throw deep on slants and crossers. Not as confident when working against zone.
 Hands can be slow to become catch-ready underneath.
 Needs to learn how to beat cornerback leverage.
 Could stand to become more physical at the top of the route.
 Hands aren't as consistent as you want them to be.",NW
Kylin Hill,RB,"* Excellent size with very muscular build.
* Running style is violent and powerful.
* Runs low and with plus leg drive in short-yardage spots 
* Adequate short-area agility to slip tackles.
* Absorbs collisions, but rarely knocked off his feet.
* Powerful thighs grab grass and pull forward through contact 
* Explosive hips for leaps over defenders in open field or at goal line.
* Delivers crunching stiff-arms.
* Bear traps for hands with no fumbles since sophomore year of high school.
* Blasts rushers with punishing shoulders to the gut.
* Ran intermediate routes out of backfield * Lacks patience and instincts to feel developing creases 
* Vision is below par.
* Delays in processing and responding to what he sees.
* Doesn't trust the play-side track in outside zone.
* Missing blow-by burst inside and outside.
* Gets leveraged against the boundary on outside runs.
* Never got on track versus LSU, Alabama and Auburn.
* Average hands as pass catcher.
* Gained 52 percent of his rush yards in 2019 vs Arkansas, Southern Mississippi, Louisiana and Abilene Christian",NW
Jermar Jefferson,RB,"Consistent player.
 Averaged 108 rushing yards per game during his career.
 Rhythmic but rowdy as a runner.
 Very good feel for outside zone scheme.
 Processes quickly, with eyes and feet in harmony.
 Sets up linebackers into climbing blocks.
 Change of direction is smooth and effortless.
 Running style and size wear down the defense.
 Violent streak once he cuts and gets going downhill.
 Will get his pound of flesh from tackler when finishing.
 Physical tools and strength to keep improving in pass protection.
 Makes open-field tacklers miss after catching swing passes. Gets impatient and works ahead of the block at times.
 Short-circuits play-side zone run prematurely for cutback.
 Needs runway to charge up downhill engine.
 Average speed to perimeter and burst through line.
 Good feel for run scheme but just an average creator.
 Will struggle in eluding early penetration.
 Needs to find more work in pass protection.
 Hands aren't very natural catching the football.",NW
